INFO:root:Getting stock list
INFO:root:Evaluating stock list
INFO:root:1/504: A at 123.90723571428572, Buy
INFO:root:2/504: AAL at 16.306953571428572, Hold
INFO:root:3/504: AAP at 176.79138571428572, Hold
INFO:root:4/504: AAPL at 139.53232142857144, Hold
INFO:root:5/504: ABBV at 148.8680357142857, Hold
INFO:root:6/504: ABC at 149.83660714285713, Hold
INFO:root:7/504: ABMD at 239.99714285714285, Hold
INFO:root:8/504: ABT at 113.41607142857143, Buy
INFO:root:9/504: ACN at 277.08517857142857, Hold
INFO:root:10/504: ADBE at 398.0265464285714, Hold
INFO:root:11/504: ADI at 159.38017857142856, Hold
INFO:root:12/504: ADM at 85.44625714285714, Hold
INFO:root:13/504: ADP at 208.51804285714286, Hold
INFO:root:14/504: ADSK at 173.9742857142857, Hold
INFO:root:15/504: AEE at 92.9557142857143, Hold
INFO:root:16/504: AEP at 99.96731785714286, Hold
INFO:root:17/504: AES at 20.75375357142857, Hold
INFO:root:18/504: AFL at 55.92663571428571, Hold
INFO:root:19/504: AIG at 56.12455357142857, Hold
INFO:root:20/504: AIZ at 177.1557142857143, Hold
INFO:root:21/504: AJG at 154.58678571428572, Hold
INFO:root:22/504: AKAM at 97.21501071428571, Hold
INFO:root:23/504: ALB at 237.30836428571428, Hold
INFO:root:24/504: ALGN at 266.46285714285716, Hold
INFO:root:25/504: ALK at 45.94616071428571, Hold
INFO:root:26/504: ALL at 124.04464285714286, Hold
INFO:root:27/504: ALLE at 107.23982142857143, Hold
INFO:root:28/504: AMAT at 107.38118214285714, Hold
INFO:root:29/504: AMCR at 12.993185714285714, Hold
INFO:root:30/504: AMD at 90.61611071428571, Sell
INFO:root:31/504: AME at 116.82125, Hold
INFO:root:32/504: AMGN at 247.65196428571429, Hold
INFO:root:33/504: AMP at 260.2033571428571, Hold
INFO:root:34/504: AMT at 243.95766785714287, Hold
INFO:root:35/504: AMZN at 2075.800275, Hold
INFO:root:36/504: ANET at 99.22125357142856, Hold
INFO:root:37/504: ANSS at 246.74713928571427, Hold
INFO:root:38/504: ANTM at 494.79614285714285, Hold
INFO:root:39/504: AON at 262.0826785714286, Hold
INFO:root:40/504: AOS at 57.42, Hold
INFO:root:41/504: APA at 42.02839642857143, Buy
INFO:root:42/504: APD at 235.89800714285715, Hold
INFO:root:43/504: APH at 68.08642857142857, Hold
INFO:root:44/504: APTV at 90.87714285714286, Hold
INFO:root:45/504: ARE at 158.87339285714285, Hold
INFO:root:46/504: ATO at 112.62337142857143, Hold
INFO:root:47/504: ATVI at 77.48585357142858, Hold
INFO:root:48/504: AVB at 200.73382500000002, Hold
INFO:root:49/504: AVGO at 519.2692857142857, Hold
INFO:root:50/504: AVY at 164.0734285714286, Hold
INFO:root:51/504: AWK at 146.69535, Hold
INFO:root:52/504: AXP at 156.38840714285715, Hold
INFO:root:53/504: AZO at 1747.2134035714287, Hold
INFO:root:54/504: BA at 120.69725357142856, Hold
INFO:root:55/504: BAC at 35.677796428571426, Hold
INFO:root:56/504: BALL at nan, Hold
INFO:root:57/504: BAX at 72.64053571428572, Hold
INFO:root:58/504: BBWI at 37.416964285714286, Hold
INFO:root:59/504: BBY at 69.88993214285715, Hold
INFO:root:60/504: BDX at 253.41267857142856, Hold
INFO:root:61/504: BEN at 25.93875357142857, Buy
INFO:root:Getting stock list
INFO:root:Evaluating stock list
INFO:root:Getting stock list
INFO:root:Evaluating stock list
INFO:root:1/504: A at 124.06223571428572, Buy
INFO:root:2/504: AAL at 16.376953571428572, Hold
INFO:root:3/504: AAP at 179.45638571428572, Hold
